TWA\TWS;0;5;10;15;20;25;30;35;40
0;0.000;-0.333;-0.667;-1.000;-1.333;-1.667;-2.000;-2.333;-2.667
35;0.000;-0.200;-0.400;-0.600;-0.800;-1.000;-1.200;-1.400;-1.600
50;0.000;3.188;6.375;7.081;7.081;5.386;3.836;2.555;0.000
55;0.000;3.511;7.012;7.794;7.794;5.919;4.219;2.815;0.000
60;0.000;3.825;7.650;8.500;8.500;6.460;4.603;3.069;0.000
65;0.000;4.089;8.177;9.069;9.205;7.001;5.117;3.582;0.000
70;0.000;4.352;8.695;9.630;9.920;7.534;5.623;4.089;0.000
75;0.000;4.607;9.222;10.200;10.625;8.075;6.137;4.603;0.000
80;0.000;4.871;9.750;10.769;11.330;8.616;6.651;5.117;0.000
85;0.000;5.134;10.268;11.330;12.045;9.149;7.157;5.623;0.000
90;0.000;5.398;10.795;11.900;12.750;9.690;7.671;6.137;0.000
95;0.000;5.364;10.719;12.113;12.861;9.892;7.863;6.329;0.000
130;0.000;5.100;10.200;13.600;13.600;11.900;10.200;8.500;0.000
135;0.000;4.887;9.775;13.600;13.600;12.325;10.200;8.075;0.000
140;0.000;4.675;9.350;13.600;13.600;12.750;10.200;;
145;0.000;4.361;8.712;12.648;12.962;12.223;9.885;;
150;0.000;4.037;8.075;11.688;12.325;11.688;9.562;;
155;0.000;3.723;7.438;10.736;11.688;11.161;9.248;;
160;0.000;3.400;6.800;9.775;11.050;10.625;8.925;7.225;0.000
165;0.000;3.086;6.162;8.823;10.413;10.098;8.611;7.123;0.000
170;0.000;2.763;5.525;7.863;9.775;9.562;8.288;7.012;0.000
175;0.000;2.448;4.887;6.911;9.137;9.036;7.973;6.911;0.000
180;0.000;2.193;4.378;6.137;8.627;8.611;7.709;6.825;0.000
